ID,gt_depth_right,pred_depth_right,gt_depth_left,pred_depth_left,gt_size_right,pred_size_right,gt_size_left,pred_size_left,gt_length_right,pred_length_right,gt_length_left,pred_length_left
abcd,3,3,5,5,2,2,4,4,4,4,7,7
abcd0,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd1,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd2,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd3,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd4,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd5,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd6,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd7,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd8,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
abcd9,5,5,3,3,4,4,2,2,21.58,21.78,18.0,18.1
